"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.98140396521938e-255,0.438080559559124,0.777,0.432,7.39388183374407e-253,"1","Pip5k1b"
3.67957167415892e-231,0.57226220107918,0.727,0.411,9.12533775191413e-229,"1","Car4"
1.46863861656154e-216,0.517484145486482,0.611,0.3,3.64222376907262e-214,"1","Prdm8"
3.87853171929756e-214,0.617803516353292,0.71,0.406,9.61875866385795e-212,"1","Igfbp4"
2.02977870405129e-199,0.556184213816884,0.415,0.175,5.0338511860472e-197,"1","Strip2"
1.39182722590091e-192,1.0201454909347,0.573,0.329,3.45173152023426e-190,"1","Cpne8"
1.5550180585832e-176,0.97526921312826,0.353,0.147,3.85644478528633e-174,"1","Cbln4"
4.59780865489615e-158,0.355090114533891,0.698,0.399,1.14025654641424e-155,"1","Slit2"
5.19638791104567e-157,1.01014044933028,0.409,0.201,1.28870420193933e-154,"1","Prr16"
6.10512422916769e-150,0.358558571674134,0.566,0.302,1.51407080883359e-147,"1","Slc17a6"
3.86676675214446e-146,0.38021117130749,0.636,0.384,9.58958154531826e-144,"1","Cpne6"
3.87837006762668e-137,1.07752205091739,0.344,0.164,9.61835776771417e-135,"1","Npnt"
2.36960126864e-135,0.545728391137723,0.895,0.724,5.8766111462272e-133,"1","Dkk3"
1.40846826475057e-133,0.656758355131424,0.589,0.364,3.49300129658142e-131,"1","Nell1"
2.22364974661536e-120,0.282433197450734,0.965,0.742,5.51465137160609e-118,"1","Arc"
6.84743853936565e-117,0.389360393772038,0.728,0.47,1.69816475776268e-114,"1","Neurod6"
6.86602250657775e-108,0.595957475288056,0.46,0.261,1.70277358163128e-105,"1","Myo16"
1.22767752469298e-99,0.531142921633558,0.816,0.645,3.0446402612386e-97,"1","Nrep"
1.52824560518295e-94,0.367342264092465,0.474,0.275,3.79004910085372e-92,"1","Mdga1"
1.35101013246255e-74,0.307281233134043,0.628,0.427,3.35050512850712e-72,"1","Neto2"
3.06986522174697e-71,0.901928607984325,0.104,0.037,7.61326574993249e-69,"1","Crh"
1.27407971965792e-62,0.549461380615617,0.291,0.165,3.15971770475164e-60,"1","Rspo1"
2.15933495482944e-39,0.46177197616878,0.295,0.191,5.355150687977e-37,"1","Syt17"
5.04936254768526e-31,0.730887904084417,0.137,0.077,1.25224191182594e-28,"1","Gm19410"
5.32980606253881e-20,0.57968971621121,0.143,0.092,1.32179190350962e-17,"1","Fos"
0,2.39881451461766,0.958,0.434,0,"2","Slc39a12"
0,2.29461661674054,0.762,0.243,0,"2","Rfx4"
0,2.40496195155228,0.709,0.208,0,"2","Hapln1"
0,2.42705006307951,0.678,0.207,0,"2","Gli3"
0,1.544489206782,0.947,0.504,0,"2","Aqp4"
0,1.26781526164504,0.89,0.492,0,"2","Rorb"
0,2.1722175688188,0.991,0.596,0,"2","Ntsr2"
